seq,weight_entry,epoch,ids_rows,tensor,ggml_type,expert,stride,relative_offset,bytes,shadow_hit,shadow_bypass,context,request_id,seq_id,phase,pos_min,pos_max,shard,absolute_offset
110,216,1,63,blk.12.ffn_up_exps.weight,22,299,524800,156915200,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,906208832
111,216,1,63,blk.12.ffn_up_exps.weight,22,300,524800,157440000,524800,1,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,906733632
112,216,1,63,blk.12.ffn_up_exps.weight,22,301,524800,157964800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,907258432
113,216,1,63,blk.12.ffn_up_exps.weight,22,303,524800,159014400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,908308032
114,216,1,63,blk.12.ffn_up_exps.weight,22,305,524800,160064000,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,909357632
115,216,1,63,blk.12.ffn_up_exps.weight,22,306,524800,160588800,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,909882432
116,216,1,63,blk.12.ffn_up_exps.weight,22,307,524800,161113600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,910407232
117,216,1,63,blk.12.ffn_up_exps.weight,22,310,524800,162688000,524800,1,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,911981632
118,216,1,63,blk.12.ffn_up_exps.weight,22,312,524800,163737600,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,913031232
119,216,1,63,blk.12.ffn_up_exps.weight,22,313,524800,164262400,524800,0,0,target,27,0,prefill,0,62,Qwen3.8-Flash-Next-AD-4.27bpw-Q4_K_M-M64-00011-of-00033.gguf,913556032
